Telugu,English
ది,The
ఉంటుంది,Will be
మరియు,and
a,a
యొక్క,Of
కు,To
లో,In
i,I
మీరు,You
అది,That
కలిగి ఉంటాయి,Have
కు,To
అని,That
కోసం,For
చేయండి,Do
అతను,He
తో,With
పై,On top
ఇది,This
కాదు,No
మేము,We
అని,That
కాదు,No
కాని,But
వాళ్ళు,They
అంటున్నారు,They say
వద్ద,At
ఏమి,What
తన,His
నుండి,From
వెళ్ళండి,Go
లేదా,Or
ద్వారా,By
పొందండి,Get
ఆమె,She
నా,My
చెయ్యవచ్చు,Can
వంటి,Like
తెలుసు,Know
ఉంటే,If
నన్ను,Me
మీ,Your
అన్ని,All
who,who
గురించి,About
వారి,Their
రెడీ,Ready
కాబట్టి,So
ఉంటుంది,Will be
తయారు,Made
కేవలం,Just
పైకి,Up
అనుకుంటాను,I think so.
సమయం,Time
అక్కడ,There
చూడండి,See
ఆమె,She
వంటి,Like
బయటకు,Out
ఒకటి,One
రండి,Come on.
ప్రజలు,People
తీసుకోవడం,Taking
సంవత్సరం,Year
అతనిని,Him
వాటిని,Them
కొన్ని,Some
కావాలి,Want
ఎలా,How
ఎప్పుడు,When
ఏది,Which
ఇప్పుడు,Now
ఇష్టం,Like
ఇతర,Other
కాలేదు,Couldn't
మా,Our
లోకి,Into
ఇక్కడ,Here
అప్పుడు,Then
కంటే,Than
చూడు,Look
మార్గం,Way
మరింత,More
ఇవి,These
సంఖ్య,Number
విషయం,Subject
బాగా,Well
ఎందుకంటే,Because
కూడా,Also
రెండు,Two
వా డు,Use
చెప్పండి,Tell me
మంచిది,Good
ప్రధమ,First
మనిషి,Man
రోజు,Day
కనుగొనండి,Find
ఇస్తాయి,Give
మరింత,More
కొత్త,New
ఒకటి,One
మాకు,For us
ఏదైనా,Anything
ఆ,That
చాలా,Very
ఆమె,She
అవసరం,Need
తిరిగి,Back
అక్కడ,There
ఉండాలి,To be
కూడా,Also
మాత్రమే,Only
అనేక,Many
నిజంగా,Really
పని,Work
జీవితం,Life
ఎందుకు,Why?
కుడి,Right
క్రిందికి,Down
పై,On top
ప్రయత్నించండి,Try
వీలు,Let
ఏదో,Something
చాలా,Very
కాల్ చేయండి,Call
స్త్రీ,Woman
మే,May
ఇప్పటికీ,Still
ద్వారా,By
అర్థం,Meaning
తర్వాత,After
ఎప్పుడూ,Never
సంఖ్య,Number
ప్రపంచం,World
లో,In
అనుభూతి,Feeling
అవును,Yes
గొప్ప,Great
చివరి,Last
బిడ్డ,Child
ఓహ్,Oh
పైగా,Over
అడగండి,Ask
ఎప్పుడు,When
వంటి,Like
పాఠశాల,School
రాష్ట్రం,State
చాలా,Very
మాట్లాడండి,Speak.
బయటకు,Out
ఉంచు,Keep
వదిలివేయండి,Leave
చాలు,Enough
ఇష్టం,Like
సహాయం,Help
పెద్ద,Big
ఎక్కడ,Where
అదే,Same
అన్ని,All
స్వంతం,Own
అయితే,However
ప్రారంభించండి,Get started
మూడు,Three
అధిక,High
ప్రతి,Every
మరొకటి,Another one
అవుతాయి,Will be
అత్యంత,Most
మధ్య,Middle
జరుగుతాయి,Happens
కుటుంబం,Family
పైగా,Over
అధ్యక్షుడు,President
పాతది,Old
అవును,Yes
ఇల్లు,House
చూపించు,Show
మళ్ళీ,Again
విద్యార్థి,Student
కాబట్టి,So
అనిపించవచ్చు,It may seem
ఉండవచ్చు,Maybe
భాగం,Part
వింటారు,Listen.
దాని,Its
స్థలం,Place
సమస్య,Problem
ఎక్కడ,Where
నమ్మకం,Trust
దేశం,Country
ఎల్లప్పుడూ,Always
వారం,Week
పాయింట్,Point
చెయ్యి,Hand
ఆఫ్,Off
ఆడండి,Play
మలుపు,Turn
కొన్ని,Some
సమూహం,Group
అటువంటి,Such
వ్యతిరేకంగా,Against
పరుగు,Running
వ్యక్తి,Person
గురించి,About
కేసు,Case
ప్రశ్న,Question
పని,Work
రాత్రి,Night
జీవించు,Live
ఆట,Game
సంఖ్య,Number
వ్రాయడానికి,To write
తీసుకురండి,Bring it.
లేకుండా,Without
డబ్బు,Money
చాలా,Very
అత్యంత,Most
పుస్తకం,Book
వ్యవస్థ,System
ప్రభుత్వం,Government
తరువాత,Later
నగరం,City
కంపెనీ,Company
కథ,Story
నేడు,Today
ఉద్యోగం,Job
కదలిక,Movement
తప్పక,Must
చెడు,Bad
స్నేహితుడు,Friend
సమయంలో,During
ప్రారంభం,Start
ప్రేమ,Love
ప్రతి,Every
పట్టుకోండి,Hold on.
భిన్నమైనది,Different
అమెరికన్,American
కొద్దిగా,A little
ముందు,Before
ఎప్పుడూ,Never
పదం,Word
వాస్తవం,Fact
కుడి,Right
చదవండి,Read
ఏదైనా,Anything
ఏమిలేదు,Nothing.
ఖచ్చితంగా,Sure
చిన్నది,Small
నెల,Month
కార్యక్రమం,Program
బహుశా,Maybe
కుడి,Right
కింద,Under
వ్యాపారం,Business
ఇల్లు,House
రకం,Type
ఆపండి,Stop.
చెల్లించాలి,Pay
చదువు,Education
నుండి,From
సమస్య,Problem
పేరు,Name
ఆలోచన,Thought
గది,Room
శాతం,Percentage
దురముగా,Far away
దూరంగా,Away
చట్టం,Law
నిజానికి,Actually
పెద్ద,Big
అయితే,However
అందించడానికి,To provide
కోల్పోతారు,Lose
శక్తి,Power
చిన్నపిల్ల,Little boy
యుద్ధం,War
అర్థం చేసుకుంటారు,Understand
తల,Head
తల్లి,Mother
నిజమైన,Real
ఉత్తమమైనది,The best
జట్టు,Team
కన్ను,Eye
పొడవు,Length
పొడవు,Length
వైపు,Side
నీటి,Water
యువకుడు,Young man
వేచి ఉండండి,Wait.
సరే,Okay
రెండు,Two
ఇంకా,And more
తర్వాత,After
కలుసుకోవడం,Meeting
సేవ,Service
ప్రాంతం,Area
ముఖ్యమైన,Important
వ్యక్తి,Person
హే,Hey
ధన్యవాదాలు,Thank you
చాలా,Very
ఎవరైనా,Someone
ముగింపు,Conclusion
మార్పు,Change
అయితే,However
మాత్రమే,Only
చుట్టూ,Around
గంట,Hour
ప్రతిదీ,Everything
జాతీయ,National
నాలుగు,Four
లైన్,Line
అమ్మాయి,Girl
చుట్టూ,Around
వాచ్,Watch
వరకు,Until
తండ్రి,Father
కూర్చోండి,Sit down.
సృష్టించు,Create
సమాచారం,Information
కారు,Car
నేర్చుకుంటారు,Learn
కనీసం,At least
ఇప్పటికే,Already
చంపేస్తాయి,They will kill.
నిమిషం,Minute
పార్టీ,Party
చేర్చండి,Include
నిలబడండి,Stand up.
కలిసి,Together
తిరిగి,Back
అనుసరించండి,Follow
ఆరోగ్యం,Health
గుర్తుంచుకోవాలి,Remember
తరచుగా,Often
కారణం,Reason
మాట్లాడతారు,Will speak
క్రితం,ago
సెట్,Set
నలుపు,Black
సభ్యుడు,Member
సంఘం,Community
ఒకసారి,Once
సామాజిక,Social
వార్తలు,News
అనుమతిస్తాయి,Allow
గెలుపు,Victory
శరీరం,Body
దారి,Path
కొనసాగుతుంది,Continued
ఉందొ లేదో అని,Whether or not
చాలు,Enough
ఖర్చు చేస్తారు,Will spend
స్థాయి,Level
చేయగలరు,Can do
రాజకీయ,Political
దాదాపు,Almost
అబ్బాయి,Boy
విశ్వవిద్యాలయ,University
ముందు,Before
ఉండు,Stay
జోడించు,Add
తరువాత,Later
మార్పు,Change
ఐదు,Five
బహుశా,Maybe
కేంద్రం,Center
మధ్య,Middle
ముఖం,Face
ప్రజా,Public
చనిపోతారు,Will die.
ఆహారం,Food
లేకపోతే,Otherwise
చరిత్ర,History
కొనుగోలు,Purchase
ఫలితం,Result
ఉదయం,Morning
ఆఫ్,Off
తల్లిదండ్రులు,Parents
కార్యాలయం,Office
కోర్సు,Course
పంపండి,Send
పరిశోధన,Research
నడవండి,Walk
తలుపు,Door
తెలుపు,White
అనేక,Many
కోర్టు,Court
ఇల్లు,House
పెరుగు,Yogurt
మంచి,Good
తెరవండి,Open
క్షణం,Moment
సహా,Including
పరిగణించండి,Consider
రెండు,Two
అటువంటి,Such
కొద్దిగా,A little
లోపల,Inside
రెండవ,Second
ఆలస్యం,Delay
వీధి,Street
ఉచిత,Free
మంచి,Good
ప్రతి ఒక్కరూ,Everyone
విధానం,Method
పట్టిక,Table
క్షమించండి,Sorry.
శ్రమ,Labor
తక్కువ,Low
మానవుడు,Human
దయచేసి,Please
ఆశిస్తున్నాము,Hope
నిజమే,True
ప్రక్రియ,Process
గురువు,Teacher
సమాచారం,Information
ఆఫర్,Offer
మరణం,Death
మొత్తం,Total
అనుభవం,Experience
ప్రణాళిక,Plan
సులభంగా,Easily
చదువు,Education
నిర్మించు,Build
ఆశించవచ్చు,Expected
పతనం,Fall
తాను,Himself
వయస్సు,Age
కష్టం,Difficult
భావం,Feeling
అంతటా,Throughout
చూపించు,Show
ప్రారంభ,Beginning
కళాశాల,College
సంగీతం,Music
కనిపిస్తాయి,Appear
మనసు,Mind
తరగతి,Class
పోలీసు,Police
వా డు,Use
ప్రభావం,Effect
బుతువు,Season
పన్ను,Tax
గుండె,Heart
కొడుకు,Son
కళ,Art
సాధ్యం,Possible
అందజేయడం,Handing over
బ్రేక్,Break
అయినప్పటికీ,Although
ముగింపు,Conclusion
సంత,Market
కూడా,Also
గాలి,Wind
బలవంతం,Force
అవసరం,Need
అడుగు,Step
పైకి,Up
వినండి,Listen.
అంగీకరిస్తున్నారు,Agree
ప్రకారం,According to
ఎవరైనా,Someone
పాప,Baby
తప్పు,Wrong
ప్రేమ,Love
కట్,Cut
నిర్ణయించుకుంటారు,Decide
రిపబ్లికన్,Republican
పూర్తి,Complete
వెనుక,Back
పాస్,Pass
ఆసక్తి,Interest
కొన్నిసార్లు,Sometimes
భద్రత,Security
తిను,Eat
నివేదిక,Report
నియంత్రణ,Control
రేటు,Rate
స్థానిక,Local
సూచించండి,Suggest
నివేదిక,Report
దేశం,Country
అమ్ముతారు,Sold
చర్య,Action
మద్దతు,Support
భార్య,Wife
నిర్ణయం,Decision
అందుకుంటారు,Receive
విలువ,Value
బేస్,Base
ఎంచుకోండి,Choose
ఫోన్,Phone
ధన్యవాదాలు,Thank you
సంఘటన,Event
డ్రైవ్,Drive
బలమైన,Strong
చేరుకుంటాయి,Will arrive
మిగిలి ఉన్నాయి,Remaining
వివరించండి,Explain.
సైట్,Site
కొట్టుట,Beating
లాగండి,Drag
చర్చి,Church
మోడల్,Model
బహుశా,Maybe
సంబంధం,Relationship
ఆరు,Six
జరిమానా,Fine
సినిమా,Movie
ఫీల్డ్,Field
పెంచండి,Increase
తక్కువ,Low
ఆటగాడు,Player
జంట,Couple
మిలియన్,Million
తమను తాము,Themselves
రికార్డు,Record
ముఖ్యంగా,Especially
తేడా,Difference
కాంతి,Light
అభివృద్ధి,Development
సమాఖ్య,Federation
మాజీ,Former
పాత్ర,Character
చక్కని,Nice
నేనే,Me
వీక్షణ,View
ధర,Price
కృషి,Effort
బాగుంది,Good
చాలా,Very
పాటు,Along
వాయిస్,Voice
చివరకు,Finally
శాఖ,Branch
గాని,Either
వైపు,Side
నాయకుడు,Leader
ఎందుకంటే,Because
ఫోటో,Photo
ధరించడం,Wearing
స్థలం,Place
ప్రాజెక్ట్,Project
తిరిగి,Back
స్థానం,Location
ప్రత్యేక,Special
మిలియన్,Million
చిత్రం,Image
అవసరం,Need
ప్రధాన,Main
రకం,Type
పట్టణం,Town
వ్యాసం,Article
త్రోవ,Path
రూపం,Form
అవకాశం,Opportunity
మందు,Medicine
ఆర్థిక,Finance
పరిస్థితి,Situation
ఎంచుకోండి,Choose
సాధన,Practice
కారణం,Reason
సంతోషంగా,Happy
సైన్స్,Science
చేరండి,Join
బోధిస్తారు,Teach
ప్రారంభ,Beginning
అభివృద్ధి,Development
వాటా,Share
మీరే,You yourself
తీసుకువెళ్ళండి,Carry it.
స్పష్టమైన,Clear
సోదరుడు,Brother
విషయం,Subject
చనిపోయాడు,Dead
చిత్రం,Image
నక్షత్రం,Star
ఖరీదు,Cost
కేవలం,Just
పోస్ట్,Post
సమాజం,Society
చిత్రం,Image
ముక్క,Piece
కాగితం,Paper
శక్తి,Power
వ్యక్తిగత,Personal
కట్టడం,Building
సైనిక,Military
తెరవండి,Open
వైద్యుడు,Doctor
కార్యాచరణ,Activity
సరిగ్గా,Exactly
అమెరికన్,American
మీడియా,Media
మిస్,Miss
సాక్ష్యం,Evidence
ఉత్పత్తి,Product
గ్రహించండి,Understand
సేవ్,Save
చేయి,Hand
సాంకేతికం,Technology
క్యాచ్,Catch
వ్యాఖ్య,Comment
చూడు,Look
పదం,Word
రంగు,Color
కవర్,Cover
వర్ణించండి,Describe
అంచనా,Estimate
ఎంపిక,Choice
మూలం,Source
అమ్మ,Mom
త్వరలో,Soon
దర్శకుడు,Director
అంతర్జాతీయ,International
పాలన,Governance
ప్రచారం,Campaign
నేల,Soil
ఎన్నికల,Election
ముఖం,Face
ఊ,Uh
తనిఖీ,Check
పేజీ,Page
పోరాడు,Fight
స్వయంగా,Himself
పరీక్ష,Test
రోగి,Patient
ఉత్పత్తి,Product
ఖచ్చితంగా,Sure
ఏదో ఒకటి,Something
సగం,Half
వీడియో,Video
మద్దతు,Support
త్రో,Throw
మూడవది,Third
శ్రమ,Labor
విశ్రాంతి,Rest
ఇటీవలి,Recent
అందుబాటులో,Available
అడుగు,Step
సిద్ధంగా,Ready
అవకాశం,Opportunity
అధికారిక,Official
నూనె,Oil
కాల్ చేయండి,Call
సంస్థ,Organization
పాత్ర,Character
సింగిల్,Single
ప్రస్తుత,Current
అవకాశం,Opportunity
కౌంటీ,County
భవిష్యత్తు,Future
నాన్న,Dad
ఎవరిది,Whose?
తక్కువ,Low
షూట్,Shoot
పరిశ్రమ,Industry
రెండవ,Second
జాబితా,List
సాధారణ,Simple
విషయం,Subject
బొమ్మ,Doll
శ్రద్ధ,Attention
మర్చిపోతారు,They forget.
ప్రమాదం,Danger
సంఖ్య,Number
దృష్టి,Vision
పొట్టి,Short
అగ్ని,Fire
కుక్క,Dog
ఎరుపు,Red
జుట్టు,Hair
పాయింట్,Point
పరిస్థితి,Situation
గోడ,Wall
కూతురు,Daughter
ముందు,Before
ఒప్పందం,Agreement
రచయిత,Author
నిజం,Truth
మీద,On
భర్త,Husband
కాలం,Period
సిరీస్,Series
ఆర్డర్,Order
అధికారి,Officer
దగ్గరగా,Close
భూమి,Earth
గమనిక,Note
కంప్యూటర్,Computer
అనుకున్నాడు,He thought
ఆర్థిక వ్యవస్థ,Economy
లక్ష్యం,Goal
బ్యాంకు,Bank
ప్రవర్తన,Behavior
ధ్వని,Sound
ఒప్పందం,Agreement
ఖచ్చితంగా,Sure
దాదాపు,Almost
పెంచు,Increase
చట్టం,Law
ఉత్తరం,North
బాగా,Well
రక్తం,Blood
సంస్కృతి,Culture
వైద్య,Medical
అలాగే,Also
అందరూ,Everyone
టాప్,Top
కష్టం,Difficult
దగ్గరగా,Close
భాష,Language
కిటికీ,Window
ప్రతిస్పందన,Response
జనాభా,Population
అబద్ధం,Lie
చెట్టు,Tree
పార్క్,Park
కార్మికుడు,Worker
డ్రా,Draw
ప్రణాళిక,Plan
డ్రాప్,Drop
పుష్,Push
భూమి,Earth
కారణం,Reason
ప్రతి,Every
ప్రైవేట్,Private
ఈరాత్రి,Tonight
జాతి,Race
కంటే,Than
లేఖ,Letter
ఇతర,Other
తుపాకీ,Gun
సాధారణ,Simple
కోర్సు,Course
ఆశ్చర్యం,Surprise
ప్రమేయం,Involvement
నరకం,Hell
పేదవాడు,Poor man
ప్రతి,Every
సమాధానం,Answer
ప్రకృతి,Nature
పరిపాలన,Administration
సాధారణ,Simple
సంఖ్య,Number
కష్టం,Difficult
సందేశం,Message
పాట,Song
ఆనందించండి,Enjoy
ఇలాంటి,Similar
సమావేశం,Meeting
దాడి,Attack
గత,Past
వేడి,Heat
కోరుకుంటారు,Want
మొత్తం,Total
విశ్లేషణ,Analysis
స్టోర్,Store
రక్షణ,Protection
బిల్లు,Bill
ఇష్టం,Like
సెల్,Cell
దూరంగా,Away
పనితీరు,Performance
ఆసుపత్రి,Hospital
మం చం,Bed
బోర్డు,Board
రక్షించడానికి,To protect
శతాబ్దం,Century
వేసవి,Summer
పదార్థం,Material
వ్యక్తిగత,Personal
ఇటీవల,Recently
ఉదాహరణ,Example
ప్రాతినిధ్యం వహిస్తాయి,Represent
నింపండి,Fill in
రాష్ట్రం,State
స్థలం,Place
జంతువు,Animal
విఫలం,Fail
కారకం,Factor
సహజ,Natural
సార్,Sir
ఏజెన్సీ,Agency
సాధారణంగా,Usually
ముఖ్యమైనది,Important
సహాయం,Help
సామర్థ్యం,Ability
మైలు,Mile
ప్రకటన,Advertisement
మొత్తం,Total
ప్రజాస్వామ్యవాది,Democrat
అంతస్తు,Floor
తీవ్రమైన,Serious
వృత్తి,Career
డాలర్,Dollar
ఓటు,Vote
సెక్స్,Sex
సరిపోల్చండి,Compare
దక్షిణ,South
ముందుకు,Forward
విషయం,Subject
ఆర్థిక,Finance
గుర్తించండి,Identify
అందమైన,Beautiful
దశాబ్దం,Decade
బిట్,Bit
తగ్గించండి,Reduce
సోదరి,Sister
నాణ్యత,Quality
త్వరగా,Quickly
చట్టం,Law
నొక్కండి,Press
ఆందోళన,Anxiety
అంగీకరించు,Accept
ఎంటర్,Enter
ప్రస్తావన,Reference
ధ్వని,Sound
ఈ విధంగా,In this way
మొక్క,Plant
ఉద్యమం,Movement
దృశ్యం,Scenery
విభాగం,Section
చికిత్స,Treatment
కోరిక,Desire
ప్రయోజనం,Benefit
ఆసక్తికరమైన,Interesting
పడమర,West
అభ్యర్థి,Candidate
విధానం,Method
గుర్తించడానికి,To identify
వనరు,Resource
దావా,Claim
సమాధానం,Answer
నిరూపించండి,Prove it.
క్రమబద్ధీకరించు,Sort
చాలు,Enough
పరిమాణం,Size
ఎవరైనా,Someone
జ్ఞానం,Knowledge
కాకుండా,Apart from
వేలాడదీయండి,Hang it.
క్రీడ,Sport
టీవీ,TV
నష్టం,Loss
వాదిస్తారు,Argue
వదిలేశారు,Left behind
గమనిక,Note
సమావేశం,Meeting
నైపుణ్యం,Skill
కార్డు,Card
భావన,Concept
ఉన్నప్పటికీ,Although
డిగ్రీ,Degree
నేరం,Crime
అని,That
సంకేతం,Sign
సంభవిస్తాయి,Occur
ఊహించుకోండి,Imagine
ఓటు,Vote
సమీపంలో,Nearby
రాజు,King
పెట్టె,Box
ప్రస్తుతం,Currently
బొమ్మ,Doll
ఏడు,Seven
విదేశీ,Foreign
నవ్వు,Laughter
వ్యాధి,Disease
స్త్రీ,Woman
దాటి,Beyond
చర్చించండి,Discuss
పూర్తి,Complete
రూపకల్పన,Design
ఆందోళన,Anxiety
బంతి,Ball
తూర్పు,East
గుర్తించండి,Identify
దరఖాస్తు,Application
సిద్ధం,Prepare
నెట్వర్క్,Network
భారీ,Huge
విజయం,Success
జిల్లా,District
కప్పు,Cup
పేరు,Name
భౌతిక,Physical
వృద్ధి,Growth
పెరుగుతాయి,Grow
హాయ్,Hi
ప్రమాణం,Standard
బలవంతం,Force
సంకేతం,Sign
అభిమాని,Fan
సిద్ధాంతం,Theory
సిబ్బంది,Staff
బాధించింది,Hurt
చట్టపరమైన,Legal
సెప్టెంబర్,September
సెట్,Set
బయట,Outside
et,and
వ్యూహం,Strategy
స్పష్టంగా,Clearly
ఆస్తి,Property
లే,Lay
చివరి,Last
అధికారం,Authority
పరిపూర్ణమైనది,Perfect
పద్ధతి,Method
ప్రాంతం,Area
నుండి,From
ప్రభావం,Effect
సూచిస్తాయి,indicate
సురక్షితం,Safe
కమిటీ,Committee
అనుకున్నారు,Thought
కల,Dream
శిక్షణ,Training
ఒంటి,Shit
కేంద్ర,Central
ఎంపిక,Choice
ఎనిమిది,Eight
ముఖ్యంగా,Especially
పూర్తిగా,Completely
అభిప్రాయం,Feedback
ప్రధాన,Main
పది,Ten
ఇంటర్వ్యూ,Interview
ఉనికిలో ఉన్నాయి,Exist
తొలగించు,Delete
చీకటి,Darkness
ఆడండి,Play
యూనియన్,Union
ప్రొఫెసర్,Professor
ఒత్తిడి,Stress
ప్రయోజనం,Benefit
వేదిక,Platform
నీలం,Blue
ఆమె,She
సూర్యుడు,Sun
నొప్పి,Pain
కళాకారుడు,Artist
ఉద్యోగి,Employee
నివారించండి,Avoid
ఖాతా,Account
విడుదల,Release
నిధి,Treasure
పర్యావరణం,Environment
చికిత్స,Treatment
నిర్దిష్ట,Specific
సంస్కరణ: Telugu,Version: Telugu
కాల్చారు,Shot
ద్వేషించు,Hate
వాస్తవికత,Reality
సందర్శించండి,Visit
క్లబ్,Club
న్యాయం,Justice
నది,River
మె ద డు,Brain
జ్ఞాపకశక్తి,Memory
శిల,Rock
మాట్లాడండి,Speak.
కెమెరా,Camera
ప్రపంచ,World
వివిధ,Various
చేరుకుంటారు,Will arrive
నోటీసు,Notice
బిట్,Bit
వివరాలు,Details
సవాలు,Challenge
వాదన,Argument
చాలా,Very
ఎవరూ,Nobody
ఆయుధం,Weapon
ఉత్తమమైనది,The best
స్టేషన్,Station
ద్వీపం,Island
ఖచ్చితంగా,Sure
బదులుగా,Instead
చర్చ,Discussion
బదులుగా,Instead
ప్రభావితం చేస్తాయి,Affect
రూపకల్పన,Design
కొద్దిగా,A little
ఏమైనప్పటికీ,Anyway
స్పందించండి,Respond
నియంత్రణ,Control
ఇబ్బంది,Trouble
సంభాషణ,Conversation
నిర్వహించడానికి,To manage
దగ్గరగా,Close
తేదీ,Date
ప్రజా,Public
సైన్యం,Army
టాప్,Top
పోస్ట్,Post
ఆరోపణ,Accusation
సీటు,Seat
ఊహిస్తారు,Guess
రచయిత,Author
నిర్వహిస్తారు,Organized
క్రెడిట్,Credit
ఆకుపచ్చ,Green
వివాహం,Marriage
ఆపరేషన్,Operation
నిజానికి,Actually
నిద్ర,Sleep
అవసరమైన,Necessary
బహిర్గతం,Disclosure
ఏజెంట్,Agent
యాక్సెస్,Access
బార్,Bar
చర్చ,Discussion
కాలు,Leg
కలిగి,Have
కొట్టారు,Beaten
చల్లని,Cold
ప్రజాస్వామికమైనది,Democratic
చల్లని,Cold
గాజు,Glass
మెరుగు,Improvement
పెద్దలు,Adults
వాణిజ్యం,Trade
మతపరమైన,Religious
తల,Head
సమీక్ష,Review
రకం,Type
చిరునామా,Address
సంఘం,Community
కొలత,Measurement
స్టాక్,Stock
వాయువు,Gas
లోతైన,Deep
న్యాయవాది,Lawyer
ఉత్పత్తి,Product
సంబంధం,Relationship
మధ్య,Middle
నిర్వహణ,Management
అసలు,Original
బాధితుడు,Victim
క్యాన్సర్,Cancer
ప్రసంగం,Speech
ప్రత్యేకంగా,Especially
విచారణ,Inquiry
ఏదీ లేదు,None
అంశం,Item
బరువు,Weight
రేపు,Tomorrow
అడుగు,Step
అనుకూల,Pro
రూపం,Form
పౌరుడు,Citizen
చదువు,Education
యాత్ర,Journey
ఏర్పాటు,Arrangement
కార్యనిర్వాహకుడు,Executive
రాజకీయాలు,Politics
కర్ర,Stick
కస్టమర్,Customer
నిర్వాహకుడు,Administrator
కాకుండా,Apart from
ప్రచురించండి,Publish
జనాదరణ పొందినది,Popular
పాడతారు,Sing
ముందుకు,Forward
సమావేశం,Meeting
మొత్తం,Total
కనుగొనండి,Find
వేగంగా,Fast
బేస్,Base
దిశ,Direction
ఆదివారం,Sunday
నిర్వహించండి,Manage
గత,Past
మెజారిటీ,Majority
శాంతి,Peace
విందు,Dinner
భాగస్వామి,Partner
వినియోగదారు,User
పైన,Above
ఎగురు,Fly
సంచి,Bag
అందువలన,Therefore
ధనవంతుడు,Rich man
వ్యక్తిగత,Personal
కఠినమైన,Tough
యజమాని,Owner
తప్పక,Must
లోపల,Inside
ఓటరు,Voter
సాధనం,Tool
జూన్,June
దురముగా,Far away
మే,May
పర్వతం,Mountain
పరిధి,Range
రైలు పెట్టె,Train carriage
భయం,Fear
శుక్రవారం,Friday
న్యాయవాది,Lawyer
తప్ప,Except
లేదా,Or
నిపుణుడు,Expert
నిర్మాణం,Structure
బడ్జెట్,Budget
భీమా,Insurance
వచనం,Text
స్వేచ్ఛ,Freedom
వెర్రి,Crazy
పాఠకుడు,Reader
శైలి,Style
ద్వారా,By
మార్చ్,March
యంత్రం,Machine
నవంబర్,November
తరం,Generation
ఆదాయం,Income
పుట్టింది,Born
ఒప్పుకుంటారు,Agree
హలో,Hello
మీద,On
సముద్రం,Sea
సరే,Okay
నోరు,Mouth
అంతటా,Throughout
స్వంతం,Own
పరీక్ష,Test
వెబ్,Web
వణుకు,Tremor
బెదిరింపు,Threat
పరిష్కారం,Solution
మూసి,Close
క్రిందికి,Down
