Telugu,English
ప్రయాణం,Travel
శాస్త్రవేత్త,Scientist
దాచు,Hide
స్పష్టంగా,Clearly
సూచించండి,Suggest
ఒంటరిగా,Alone
త్రాగండి,Drink.
విచారణ,Inquiry
సెనేటర్,Senator
యూనిట్,Unit
ఫోటో,Photo
జూలై,July
టెలివిజన్,Television
కీ,Key
లైంగిక,Sexual
రేడియో,Radio
నిరోధిస్తాయి,Prevent
ఒకసారి,Once
ఆధునిక,Modern
సెనేట్,Senate
హింస,Violence
స్పర్శ,Touch
లక్షణం,Characteristic
ప్రేక్షకులు,Audience
సాయంత్రం,Evening
ఎవరిని,Whom
ముందు,Before
హాలు,Hall
పని,Work
స్కోర్,Score
చర్మం,Skin
బాధపడతారు,Will suffer
విస్తృత,Wide
వసంత,Spring
అనుభవం,Experience
పౌర,Civil
భద్రత,Security
వారాంతం,Weekend
అయితే,However
విలువ,Value
శీర్షిక,Title
వేడి,Heat
సాధారణ,Simple
ఆశిస్తున్నాము,Hope
యార్డ్,Yard
వేలు,Finger
మొగ్గు,Inclination
మిషన్,Mission
చివరికి,Finally
పాల్గొనేవాడు,Participant
హోటల్,Hotel
న్యాయమూర్తి,Judge
నమూనా,Sample
బ్రేక్,Break
సంస్థ,Organization
విశ్వాసం,Faith
వృత్తిపరమైన,Professional
ప్రతిబింబిస్తాయి,Reflect
జానపద,Folklore
ఉపరితల,Surface
పతనం,Fall
క్లయింట్,Client
అంచు,Edge
సంప్రదాయకమైన,Traditional
కౌన్సిల్,Council
పరికరం,Device
దృఢమైన,Strong
పర్యావరణ,Environment
బాధ్యత,Responsibility
కుర్చీ,Chair
అంతర్జాలం,Internet
అక్టోబర్,October
ద్వారా,By
తమాషా,Funny
తక్షణమే,Immediately
పెట్టుబడి,Investment
ఓడ,Ship
సమర్థవంతమైన,Efficient
మునుపటి,Previous
విషయము,Content
వినియోగదారుడు,Customer
మూలకం,Element
అణు,Nuclear
ఆత్మ,Spirit
నేరుగా,Directly
భయపడటం,Fear
నిర్వచించండి,Define
హ్యాండిల్,Handle
ట్రాక్,Track
పరుగు,Running
గాలి,Wind
లేకపోవడం,Absence
ఖరీదు,Cost
ప్రకటించండి,Announce
పత్రిక,Magazine
భారీ,Huge
మంచు,Snow
సేకరణ,Collection
ఫీడ్,Feed
సైనికుడు,Soldier
కేవలం,Just
గవర్నర్,Governor
చేప,Fish
భుజం,Shoulder
సాంస్కృతిక,Cultural
విజయవంతమైంది,Successful
న్యాయమైన,Fair
నమ్మకం,Trust
అకస్మాత్తుగా,Suddenly
భవిష్యత్తు,Future
ఆసక్తి,Interest
బట్వాడా,Deliver
శనివారం,Saturday
సంపాదకుడు,Editor
తాజా,Latest
ఎవరైనా,Someone
నాశనం,Destroy
దావా,Claim
క్లిష్టమైన,Complex
ఒప్పందం,Agreement
శక్తివంతమైన,Powerful
పరిశోధకుడు,Researcher
భావన,Concept
సిద్ధమయ్యారు,Ready
బ్యాండ్,Band
పెళ్లి చేసుకుంటారు,They will get married.
వాగ్దానం,Promise
సులభంగా,Easily
రెస్టారెంట్,Restaurant
లీగ్,League
సీనియర్,Senior
రాజధాని,Capital
ఇకపై,No more
ఏప్రిల్,April
సంభావ్య,Potential
మొదలైనవి,etc.
శీఘ్ర,Quick
పత్రిక,Magazine
హోదా,Status
హాజరు,Attendance
భర్తీ చేయండి,Replace
బకాయి,Due
కొండ,Hill
వంటగది,Kitchen
సాధిస్తారు,Will achieve
తెర,Screen
సాధారణంగా,Usually
పొరపాటు,Mistake
పాటు,Along
సమ్మె,Strike
యుద్ధం,War
స్పాట్,Spot
ప్రాథమిక,Basic
చాలా,Very
మూలలో,In the corner
లక్ష్యం,Goal
డ్రైవర్,Driver
ప్రారంభం,Start
మతం,Religion
సంక్షోభం,Crisis
లెక్కించు,Calculate
మ్యూజియం,Museum
నిమగ్నమై,Engaged
కమ్యూనికేషన్,Communication
హత్య,Murder
దెబ్బ,Blow
వస్తువు,Object
ఎక్స్ప్రెస్,Express
హుహ్,Huh
ప్రోత్సహిస్తాయి,Encourage
విషయం,Subject
బ్లాగు,Blog
చిరునవ్వు,Smile
తిరిగి,Back
నమ్మకం,Trust
నిరోధించు,Block
అప్పు,Debt
అగ్ని,Fire
శ్రమ,Labor
అవగాహన,Awareness
పొరుగు,Neighbor
ఒప్పందం,Agreement
మధ్య,Middle
జాతులు,Species
అదనపు,Extra
నమూనా,Sample
చేరి,Joined
లోపల,Inside
ఎక్కువగా,Mostly
మార్గం,Way
సంబంధిత,Related
ఆపిల్,Apple
ప్రవర్తన,Behavior
దేవుడు,God
అద్భుతమైన,Excellent
గ్రంధాలయం,Library
జైలు,Prison
రంధ్రం,Hole
ప్రయత్నం,Effort
పూర్తి,Complete
కోడ్,Code
అమ్మకాలు,Sales
బహుమతి,Gift
తిరస్కరిస్తారు,Reject
పెంచు,Increase
తోట,Garden
పరిచయం,Introduction
రోల్,Roll
క్రైస్తవుడు,Christian
ఖచ్చితంగా,Sure
ఇష్టం,Like
సరస్సు,Lake
మలుపు,Turn
ఖచ్చితంగా,Sure
సంపాదిస్తారు,Earn
విమానం,Airplane
వాహనం,Vehicle
పరిశీలించండి,Check it out.
అప్లికేషన్,Application
వెయ్యి,Thousand
కాఫీ,Coffee
లాభం,Profit
ఫలితం,Result
ఫైల్,File
బిలియన్,Billion
సంస్కరణ,Reform
పట్టించుకోకుండా,Regardless
స్వాగతం,Welcome
బంగారం,Gold
ఎగిరి దుముకు,Jump
గ్రహం,Planet
స్థానం,Location
పక్షి,Bird
అద్భుతమైన,Excellent
సూత్రం,Principle
ప్రచారం చేయండి,Promote
వెతకండి,Search
తొమ్మిది,Nine
సజీవంగా,Alive
అవకాశం,Opportunity
ఆకాశం,Sky
లేకుంటే,Otherwise
గుర్తు చేయండి,Remind
ఆరోగ్యకరమైన,Healthy
సరిపోయింది,Enough.
గుర్రం,Horse
ప్రయోజనం,Benefit
వాణిజ్య,Commercial
దొంగతనం చేస్తారు,They steal.
ఆధారంగా,Based on
సందర్భం,Context
అత్యంత,Most
క్రిస్మస్,Christmas
బలం,Strength
కదలిక,Movement
సోమవారం,Monday
అర్థం,Meaning
ఒంటరిగా,Alone
బీచ్,Beach
సర్వే,Survey
రాయడం,Writing
మాస్టర్,Master
ఏడుస్తారు,Crying
స్థాయి,Level
నివాసి,Resident
ఫుట్బాల్,Football
తీపి,Sweet
వైఫల్యం,Failure
రిపోర్టర్,Reporter
కట్టుబడి,Committed
పోరాడు,Fight
ఒకటి,One
సహచరుడు,Companion
దృష్టి,Vision
ఫంక్షన్,Function
నిజంగా,Really
అనారోగ్యం,Illness
సగటు,Average
మానవుడు,Human
తెలివితక్కువ,Stupid
రెడీ,Ready
చైనీస్,Chinese
కనెక్షన్,Connection
శిబిరం,Camp
రాయి,Stone
వంద,One hundred
కీ,Key
ట్రక్,Truck
మధ్యాహ్నం,Afternoon
బాధ్యత,Responsibility
కార్యదర్శి,Secretary
స్పష్టంగా,Clearly
తెలివైన,Intelligent
దక్షిణాది,Southern
పూర్తిగా,Completely
పశ్చిమ,West
సేకరించండి,Collect
సంఘర్షణ,Conflict
కాల్చండి,Bake
నేర్చుకోవడం,Learning
మేల్కొలపండి,Wake up.
సహకరించండి,Collaborate
రైడ్,Ride
బ్రిటిష్,British
అనుసరించడం,Following
ఆర్డర్,Order
వాటా,Share
వార్తాపత్రిక,Newspaper
పునాది,Foundation
వివిధ,Various
దృష్టికోణం,Perspective
పత్రం,Document
ఉనికిని,Presence
తదేకంగా చూడు,Stare.
పాఠం,Lesson
పరిమితి,Limit
అభినందిస్తున్నాము,Congratulations
పూర్తి,Complete
గమనించండి,Note
ప్రస్తుతం,Currently
వంద,One hundred
సరదాగా,Fun
గుంపు,Group
దాడి,Attack
అపార్ట్మెంట్,Apartment
జీవించి,Alive
అతిథి,Guest
ఆత్మ,Spirit
రక్షణ,Protection
తెలివితేటలు,Intelligence
నిన్న,Yesterday
ఎక్కడో,Somewhere
సరిహద్దు,Border
చదవడం,Reading
నిబంధనలు,Terms
నాయకత్వం,Leadership
ప్రస్తుతం,Currently
అధినేత,Leader
వైఖరి,Attitude
ప్రారంభించండి,Get started
అమ్మో,"Oh, yes."
తిరస్కరించు,Reject
వెబ్సైట్,Website
తీవ్రంగా,Seriously
అసలు,Original
రీకాల్,Recall
పరిష్కరించండి,Solve
ప్రతికూల,Negative
కనెక్ట్ చేయండి,Connect
దూరం,Distance
సాధారణ,Simple
వాతావరణం,Weather
సంబంధం,Relationship
విమానము,Airplane
ప్రమాదకరమైన,Dangerous
పడవ,Boat
అంశం,Item
పట్టుకో,Hold on.
వరకు,Until
ఇష్టమైన,Favorite
ఇష్టం,Like
జనవరి,January
స్వతంత్ర,Independent
వాల్యూమ్,Volume
ఉదయం,Morning
చాలా,Very
ముందు,Before
ఆన్లైన్,Online
థియేటర్,Theater
వేగం,Speed
తెలుసు,Know
గుర్తింపు,Identification
డిమాండ్,Demand
అదనపు,Extra
ఆరోపణ,Accusation
కాపలా,Guard
ప్రదర్శించండి,Showcase
పూర్తిగా,Completely
మంగళవారం,Tuesday
సౌకర్యం,Facility
పొలం,Farm
మనసు,Mind
సరదాగా,Fun
వెయ్యి,Thousand
ఆగస్టు,August
కిరాయి,Hire
కాంతి,Light
లింక్,Link
షూ,Shoe
ఇన్స్టిట్యూట్,Institute
క్రింద,Below
జీవించి ఉన్న,Living
యూరోపియన్,European
త్రైమాసికం,Quarter
ప్రాథమికంగా,Basically
అడవి,Forest
బహుళ,Multiple
ఎన్నికలో,In the election
అడవి,Forest
కొలత,Measurement
రెండుసార్లు,Twice
క్రాస్,Cross
నేపథ్య,Background
స్థిరపడతాయి,Will settle down
చలికాలం,Winter
దృష్టి,Vision
రాష్ట్రపతి,President
పనిచేస్తాయి,Work
ఫక్,Fuck
వీక్షణ,View
రోజువారీ,Daily
అంగడి,Shop
పైన,Above
విభజన,Division
నెమ్మదిగా,Slowly
సలహా,Advice
స్పందన,Response
గాయం,Injury
అది,That
టిక్కెట్టు,Ticket
గ్రేడ్,Grade
వావ్,Wow
పుట్టిన,Birth
పెయింటింగ్,Painting
ఫలితం,Result
శత్రువు,Enemy
నష్టం,Loss
ఉండటం,Being
తుఫాను,Storm
ఆకారం,Shape
గిన్నె,Bowl
కమిషన్,Commission
కెప్టెన్,Captain
చెవి,Ear
దళం,Troop
స్త్రీ,Woman
చెక్క,Wood
వెచ్చని,Warm
శుభ్రంగా,Clean
దారి,Path
మంత్రి,Minister
పొరుగు,Neighbor
చిన్న,Small
మానసిక,Mental
సాఫ్ట్వేర్,Software
సంతోషం,Happiness
కనుగొనడం,Finding
ప్రభువు,Lord
డ్రైవ్,Drive
ఉష్ణోగ్రత,Temperature
నిశ్శబ్దంగా,Quietly
వ్యాప్తి,Spread
ప్రకాశవంతమైన,Bright
కట్,Cut
పలుకుబడి,Reputation
తన్నండి,Kick
వార్షిక,Annual
ప్రక్రియ,Process
గౌరవం,Respect
అల,Wave
సంప్రదాయం,Tradition
బెదిరించే,Threatening
ప్రాథమిక,Basic
వింత,Strange
నటుడు,Actor
నిందిస్తారు,Blame
చురుకుగా,Active
పిల్లి,Cat
ఆధారపడి ఉంటాయి,Depends
బస్సు,Bus
బట్టలు,Clothes
వ్యవహారం,Affair
సంప్రదించండి,Contact
వర్గం,Category
అంశం,Item
విజయం,Success
ప్రత్యక్షంగా,Directly
వైపు,Side
పటం,Map
గుడ్డు,Egg
నిర్ధారించడానికి,To confirm
సాధారణ,Simple
వ్యక్తీకరణ,Expression
గత,Past
సెషన్,Session
పోటీ,Competition
బహుశా,Maybe
సాంకేతికత,Technology
నాది,Mine
సగటు,Average
ఉద్దేశ్యము,Purpose
అసాధ్యం,Impossible
నైతిక,Moral
విద్యాసంబంధమైన,Academic
వైన్,Wine
విధానం,Method
ఎలాగోలా,Somehow
సేకరించండి,Collect
శాస్త్రీయ,Scientific
ఆఫ్రికన్,African
ఉడికించాలి,Cook
పాల్గొంటారు,Participate
స్వలింగ సంపర్కుడు,Homosexual
తగిన,Suitable
యువత,Youth
దుస్తులు,Clothing
నేరుగా,Directly
వాతావరణం,Weather
సిఫార్సు,Recommendation
మందు,Medicine
నవల,Novel
స్పష్టమైన,Clear
గురువారం,Thursday
మార్పిడి,Exchange
అన్వేషించండి,Explore
విస్తరించు,Expand
బే,Bay
ఆహ్వానించండి,Invite
టై,Tie
ఆహ్,Ah
చెందినవి,Belonging
పొందటానికి,To obtain
విస్తృత,Wide
ముగింపు,Conclusion
పురోగతి,Progress
ఆశ్చర్యం,Surprise
అంచనా,Estimate
చిరునవ్వు,Smile
లక్షణం,Characteristic
నగదు,Cash
రక్షించు,Protect
పౌండ్,Pound
సరైన,Correct
పెళ్లయింది,Married
జత,Pair
కొద్దిగా,A little
ఋణం,Loan
గ్రామం,Village
సగం,Half
దావా,Claim
డిమాండ్,Demand
చారిత్రక,Historical
అర్థం,Meaning
ప్రయత్నం,Effort
సరఫరా,Supply
ఎత్తండి,Lift
మనమే,Ourselves
తేనె,Honey
ఎముక,Bone
పర్యవసానంగా,As a result
ఏకైక,Unique
తరువాత,Later
నియంత్రణ,Control
అవార్డు,Award
దిగువన,At the bottom
మన్నించు,Forgive me.
తెలిసిన,Known
తరగతి గది,Classroom
వెతకండి,Search
సూచన,Reference
ఉద్భవిస్తాయి,Emerge
పొడవు,Length
మధ్యాహ్న భోజనం,Lunch
న్యాయమూర్తి,Judge
ప్రకటన,Advertisement
కోరిక,Desire
సూచన,Reference
అత్యవసర,Emergency
ఆలోచిస్తున్నాను,Thinking
పర్యటన,Tour
ఫ్రెంచ్,French
కలపండి,Mix
చంద్రుడు,Moon
విచారంగా,Sad
చిరునామా,Address
డిసెంబర్,December
ఎక్కడైనా,Anywhere
చికెన్,Chicken
ఇంధనం,Fuel
రైలు,Train
తిట్టు,Damn it.
నిర్మాణం,Structure
బుధవారం,Wednesday
లింక్,Link
అర్హులు,Eligible
ప్రసిద్ధి,Famous
జోక్యం,Intervention
గొప్ప,Great
సందర్శించండి,Visit
నిర్ధారించండి,Confirm
అదృష్ట,Lucky
పట్టుబట్టుతారు,Insist
తీరం,Coast
గర్వంగా ఉంది,Proud
కవర్,Cover
నాల్గవది,Fourth
పోలీసు,Police
కోపం,Anger
స్థానికుడు,Native
అత్యున్నతమైనది,Supreme
బేస్బాల్,Baseball
కాని,But
ఇమెయిల్,Email
ప్రమాదం,Danger
ముందు,Before
విధి,Fate
పెరుగుతున్నాయి,Growing
పోరాటం,Fight
ఆదాయం,Income
విస్తరించండి,Expand
అధినేత,Leader
ప్రయోగ,Launch
ధోరణి,Trend
రింగ్,Ring
పునరావృతం,Repetition
ఊపిరి,Breath
అంగుళం,Inch
మెడ,Neck
కోర్,Core
భయంకరమైన,Terrible
బిలియన్,Billion
సాపేక్షంగా,Relatively
క్లిష్టమైన,Complex
నొక్కండి,Press
మిస్,Miss
నెమ్మదిగా,Slowly
మృదువైన,Soft
ఉత్పత్తి,Product
అత్యంత,Most
చివరి,Last
త్రాగండి,Drink.
ఎప్పటికీ,Forever
కార్పొరేట్,Corporate
లోతైన,Deep
ఇష్టపడతారు,Like
తప్ప,Except
చౌక,Cheap
సాహిత్యం,Literature
ప్రత్యక్షంగా,Directly
మేయర్,Mayor
పురుషుడు,Male
ప్రాముఖ్యత,Importance
రికార్డు,Record
ప్రమాదం,Danger
భావోద్వేగ,Emotional
మోకాలి,Knee
గాడిద,Donkey
పట్టుకోవడం,Holding
ట్రాఫిక్,Traffic
ఫకింగ్,Fucking
బయట,Outside
ఇప్పుడు,Now
రైలు,Train
ప్లేట్,Plate
పరికరాలు,Equipment
ఎంచుకోండి,Choose
ఫైల్,File
స్టూడియో,Studio
ఖరీదైన,Expensive
రహస్య,Secret
ఇంజిన్,Engine
స్వీకరించు,Receive
అదృష్టం,Good luck
ద్వారా,By
సాయంత్రం,Evening
ప్యానెల్,Panel
హీరో,Hero
వృత్తం,Circle
విమర్శకుడు,Critic
పరిష్కరించండి,Solve
బిజీగా,Busy
ఎపిసోడ్,Episode
తిరిగి,Back
తనిఖీ,Check
అవసరం,Need
రాజకీయ నాయకుడు,Politician
వర్షం,Rain
సహోద్యోగి,Colleague
అదృశ్యమవడం,Disappearance
బీరు,Beer
అంచనా వేయండి,Estimate
వ్యాయామం,Exercise
అలసిన,Tired
ప్రజాస్వామ్యం,Democracy
చివరికి,Finally
అమరిక,Arrangement
గౌరవం,Respect
పనిచేస్తుంది,Works
దురదృష్టవశాత్తు,Unfortunately
థీమ్,Theme
సమస్య,Problem
పురుషుడు,Male
శుభ్రంగా,Clean
ఏకమయ్యారు,United
కొలను,Pool
విద్యాసంబంధమైన,Academic
ఖాళీ,Empty
సౌకర్యవంతమైన,Comfortable
దర్యాప్తు చేయండి,Investigate
ఉపయోగకరమైన,Useful
జేబులో,In the pocket
డిజిటల్,Digital
పుష్కలంగా,Plenty
పూర్తిగా,Completely
భయం,Fear
స్థోమత,Affordability
చక్కెర,Sugar
బోధన,Teaching
సంప్రదాయవాది,Conservative
చైర్మన్,Chairman
లోపం,Error
వంతెన,Bridge
పొడవు,Length
ప్రత్యేకంగా,Especially
పువ్వు,Flower
అయితే,However
విశ్వం,Universe
జీవించు,Live
గుర్తించండి,Identify
పరిమితి,Limit
కవరేజ్,Coverage
సిబ్బంది,Staff
గుర్తించండి,Identify
సంతులనం,Balance
సమానం,Equal
పెదవి,Lip
సన్నగా,Thin
జోన్,Zone
పెండ్లి,Wedding
కాపీ,Copy
స్కోర్,Score
తమాషా,Funny
ఉపయోగించబడిన,Used
స్పష్టమైన,Clear
ఎలుగుబంటి,Bear
భోజనం,Meal
సమీక్ష,Review
మైనారిటీ,Minority
దృష్టి,Vision
నిద్ర,Sleep
రష్యన్,Russian
దుస్తులు,Clothing
విడుదల,Release
సోవియట్,Soviet
లాభం,Profit
సవాలు,Challenge
జాగ్రత్తగా,Carefully
లింగం,Gender
టేప్,Tape
సముద్ర,Sea
గుర్తించబడలేదు,Not recognized
హోస్ట్,Host
మంజూరు,Grant
పరిస్థితి,Situation
ఆలస్యం,Delay
బాస్,Boss
ప్రకటించండి,Announce
దేశీయ,Domestic
తేనీరు,Tea
నిర్వహించండి,Manage
ఆంగ్ల,English
ఏదీ కాదు,None
గాని,Either
అధికారిక,Official
చుట్టుముట్టండి,Surround
పద్ధతి,Method
ఆశ్చర్యపోయాడు,Surprised
శాతం,Percentage
భారీ,Huge
మేఘం,Cloud
విజేత,Winner
నిజాయితీ,Honesty
ప్రమాణం,Standard
ప్రతిపాదించండి,Propose
ఆధారపడతారు,Depends
అదనంగా,Additionally
వాక్యం,Sentence
అభ్యర్థన,Request
ప్రదర్శన,Display
సంబంధించి,Regarding
అద్భుతమైన,Excellent
నేరస్థుడు,Criminal
ఉ ప్పు,Salt
అందం,Beauty
సీసా,Bottle
భాగం,Part
కింద,Under
రుసుము,Fee
యూదు,Jewish
మీది,Yours
పొడి,Dry
నృత్యం,Dance
చొక్కా,Shirt
చిట్కా,Tip
ప్లాస్టిక్,Plastic
భారతీయుడు,Indian
గుర్తు,Sign
పంటి,Tooth
మాంసం,Meat
ఒత్తిడి,Stress
చట్టవిరుద్ధం,Illegal
గణనీయంగా,Significantly
ఫిబ్రవరి,February
రాజ్యాంగం,Constitution
నిర్వచనం,Definition
మామ,Uncle
మెటల్,Metal
ఆల్బమ్,Album
స్వీయ,Self
అనుకుందాం,Suppose
పెట్టుబడిదారుడు,Investor
పండు,Fruit
పవిత్ర,Holy
డెస్క్,Desk
తూర్పు,East
లోయ,Valley
ఎక్కువగా,Mostly
గర్భస్రావం,Miscarriage
అధ్యాయం,Chapter
నిబద్ధత,Commitment
జరుపుకుంటారు,Celebrate
అరెస్టు,Arrest
నృత్యం,Dance
ప్రధానమైనది,Main
నగరాల,Cities
అంతర్గత,Internal
ఇబ్బంది పెడతారు,They will cause trouble.
ప్రతిపాదన,Proposal
మార్పు,Change
సామర్థ్యం,Ability
దోషి,Guilty
హెచ్చరిస్తారు,Warn
పలుకుబడి,Reputation
బలహీనమైన,Weak
తప్ప,Except
కాథలిక్,Catholic
ముక్కు,Nose
వేరియబుల్,Variable
కన్వెన్షన్,Convention
జ్యూరీ,Jury
రూట్,Root
సంఘటన,Event
ఎక్కడం,Climbing
వినికిడి,Hearing
ప్రతిచోటా,Everywhere
చెల్లింపు,Payment
ఎలుగుబంటి,Bear
ముగించారు,Finished
అరుపు,Shout
శస్త్రచికిత్స,Surgery
నీడ,Shadow
సాక్షి,Witness
పెరుగుతున్న,Growing
ఛాతి,Chest
సవరణ,Edit
పెయింట్,Paint
రహస్య,Secret
ఫిర్యాదు,Complaint
మేరకు,To the extent
ఆనందం,Happiness
తలవంచండి,Bow your head.
సెలవు,Holiday
సూపర్,Super
ప్రతిభ,Talent
తప్పనిసరిగా,Definitely
ఉదారవాద,Liberal
నిరీక్షణ,Expectation
రైడ్,Ride
నిందిస్తారు,Blame
కొట్టు,Knock
గతంలో,In the past
రెక్క,Wing
కార్పొరేషన్,Corporation
రంగం,Sector
లావు,Fat
ప్రయోగం,Experiment
మ్యాచ్,Match
సన్నగా,Thin
రైతు,Farmer
అరుదైన,Rare
ఆంగ్ల,English
విశ్వాసం,Faith
గుత్తి,Bouquet
పందెం,Bet
ఉదహరించండి,Cite
ఉత్తరాది,North
స్పీకర్,Speaker
రొమ్ము,Breast
సహకారం,Collaboration
ఆకు,Leaf
సృజనాత్మక,Creative
పరస్పర చర్య,Interaction
టోపీ,Hat
సందేహం,Doubt
వాగ్దానం,Promise
కొనసాగించు,Continue
మొత్తం,Total
నర్సు,Nurse
ప్రశ్న,Question
దీర్ఘకాలిక,Long-term
జన్యువు,Gene
ప్యాకేజీ,Package
అసహజ,Unnatural
కష్టం,Difficult
అరుదుగా,Rarely
నాన్న,Dad
అంచనా,Estimate
జాబితా,List
యుగం,Era
వ్యాఖ్య,Comment
సహాయం,Help
vs,vs
పెట్టుబడి,Investment
వ్యక్తిగతంగా,Personally
భావన,Concept
వివరణ,Description
విమానాశ్రయం,Airport
గొలుసు,Chain
బహిర్గతం చేయండి,Reveal
తాళం వేయండి,Lock it.
ఒప్పించండి,Convince
ఛానెల్,Channel
జాగ్రత్తగా,Carefully
కన్నీరు,Tears
ఎస్టేట్,Estate
ప్రారంభ,Beginning
ఆఫర్,Offer
కొనుగోలు,Purchase
మార్గదర్శకుడు,Pioneer
ముందుకు,Forward
తన,His
బంధం,Bonding
పుట్టినరోజు,Birthday
ప్రయాణం,Travel
ప్రార్థించండి,Pray.
అభివృద్ధి,Development
ప్రాచీన,Ancient
తప్పక,Must
తప్పించుకుంటారు,Escape
కాలిబాట,Trail
గోధుమ రంగు,Brown
ఫ్యాషన్,Fashion
పొడవు,Length
షీట్,Sheet
నిధులు,Funds
మరోవైపు,On the other hand
తప్పు,Wrong
కేవలం,Just
తొలగించు,Delete
చలనం,Motion
అవసరమైన,Necessary
వేరుగా,Separately
కలయిక,Combination
పరిమితం,Limited
వివరణ,Description
కలపాలి,Mix
మంచు,Snow
అమలు,Execution
చక్కని,Nice
సరైన,Correct
భాగం,Part
మార్కెటింగ్,Marketing
ఆమోదించడానికి,To approve
ఇతర,Other
బాంబు,Bomb
స్లిప్,Slip
ప్రాంతీయ,Regional
లేకపోవడం,Absence
కండరము,Muscle
సంప్రదించండి,Contact
పెరుగుతాయి,Grow
తప్పు,Wrong
అవకాశం,Opportunity
సృష్టి,Creation
సాధారణంగా,Usually
ఖర్చు చేయడం,Spending
వాయిద్యం,Instrument
ద్రవ్యరాశి,Mass
దురముగా,Far away
మందపాటి,Thick
ముద్దు,Kiss
పెరిగింది,Increased
స్ఫూర్తినిస్తాయి,Inspiring
వేరు,Separate
శబ్దం,Noise
పసుపు,Yellow
లక్ష్యం,Goal
ఇ-మెయిల్,Email
చక్రం,Wheel
సిగ్నల్,Signal
అనువర్తనం,App
బంగారు,Gold
తిరస్కరించండి,Reject
తెలియజేయండి,Let me know.
అవగాహన,Awareness
సందర్శకుడు,Visitor
తారాగణం,Cast
విరుద్ధంగా,Contrary
తీర్పు,Verdict
అర్థం,Meaning
విశ్రాంతి,Rest
ప్రతినిధి,Representative
పాస్,Pass
పాలన,Governance
కేవలం,Just
నిర్మాత,Producer
అయ్యో,Oops
మార్గం,Way
అబద్ధం,Lie
సాధారణ,Simple
విశ్లేషకుడు,Analyst
ఖాతా,Account
ఎన్నుకోబడతారు,Will be elected
వాసన,Smell
స్త్రీ,Woman
జీవించి ఉన్న,Living
వైకల్యం,Disability
పోలిక,Comparison
చెయ్యి,Hand
రేటింగ్,Rating
క్యాంపస్,Campus
అంచనా వేయండి,Estimate
ఘనమైన,Solid
శాఖ,Branch
పిచ్చి,Madness
